policy,seed,excluded_resources,effective_capacity,effective_roster_seed,arrival_model,atomic_duration_scale,atomic_activity_mode,drl_assignments,drl_postponements,unpermitted_activities,still_queued_at_end,missing_resource_starts,automatic_atomic_transitions,assigned_atomic_starts,max_resource_occupation,arrivals,completed_cases,completion_share,completed_within_arrival_window,completion_within_arrival_window_share,cycle_time_days,p95_cycle_days,occupation,fairness,w_occupation,w_fairness,time_to_first_offer_days,first_offer_reach_share,time_to_decision_days,decision_reach_share,case_handover_rate,activity_switch_rate,rolling_workload_std,w_activity_switch_rate,w_rolling_workload_std,w_event_share,ao_event_share,w_busy_share,ao_busy_share,median_sessions_per_work_item,max_sessions_per_work_item,max_session_guard_reached,max_session_guard_forced_completions,withdrawals,rare_shortened_work_items,rare_personal_loan_work_items,resources_evaluated,zero_availability_resources,busy_outside_availability_hours
kbatch1,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29940,0,0.1137,2077,2077,1.0,687,0.3307655272026962,21.33685049460669,40.197077053071745,0.008977590100700603,0.0108416939703653,0.008977590100700603,0.0108416939703653,1.6144377543069321,1.0,14.377824767176996,0.7279730380356283,0.6782877316857899,0.09889604415823366,0.029436384631444913,0.09889604415823366,0.029436384631444913,0.2214944388790424,0.7785055611209576,1.0,0.0,1.0,15,0,0,401,0,0,143,0,56.73211044416667
kbatch5,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30547,0,0.1211,2081,2081,1.0,679,0.32628543969245555,21.2622580616413,39.72408680775463,0.011708789478480202,0.013692959183673468,0.011708789478480202,0.013692959183673468,1.6622333533446403,1.0,14.829453131509181,0.7001441614608361,0.827996340347667,0.08163265306122448,0.03129256987922996,0.08163265306122448,0.03129256987922996,0.22008706075326478,0.7799129392467352,1.0000000000000002,0.0,1.0,11,0,0,483,0,0,140,3,79.51920331916668
kbatch5,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1142,2150,2150,1.0,725,0.3372093023255814,20.991102528219628,39.48465529422338,0.013759218752244813,0.016520224489795916,0.013759218752244813,0.016520224489795916,1.5459010450477282,1.0,14.123054479637279,0.7120930232558139,0.8051537070524413,0.0807855389422004,0.02476520378016335,0.0807855389422004,0.02476520378016335,0.21513559069951912,0.7848644093004808,0.9999999999999998,0.0,1.0,11,0,0,525,0,0,140,3,33.1091965275
kbatch5,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32129,0,0.0784,2203,2203,1.0,794,0.3604176123467998,20.801818332470337,38.409062984112275,0.009812663584835488,0.011409164528947234,0.009812663584835488,0.011409164528947234,1.6609634783158802,1.0,14.535062670755252,0.7099409895596913,0.8133787814230933,0.06596701649175413,0.02345690906391447,0.06596701649175413,0.02345690906391447,0.21834271148944356,0.7816572885105565,1.0000000000000002,0.0,1.0,10,0,0,518,0,0,141,2,24.335195564444447
kbatch5,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29940,0,0.0899,2077,2077,1.0,690,0.33220991815117956,21.36018707648323,40.36096471603009,0.008703216653695908,0.010213379627365642,0.008703216653695908,0.010213379627365642,1.6200613460191873,1.0,14.36340808743825,0.7279730380356283,0.8156498673740054,0.07571560480147738,0.02651284749322078,0.07571560480147738,0.02651284749322078,0.22091409182047195,0.779085908179528,0.9999999999999998,0.0,1.0,15,0,0,454,0,0,143,0,58.37800871472223
kbatch10,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30547,0,0.0896,2081,2081,1.0,680,0.3267659778952427,21.227717545248577,39.498927847557866,0.011807448034235926,0.012762,0.011807448034235926,0.012762,1.645496338001184,1.0,14.7671970715083,0.7001441614608361,0.844000917641661,0.07076483202287348,0.029834424511146502,0.07076483202287348,0.029834424511146502,0.21993942453306412,0.7800605754669359,1.0,0.0,1.0,11,0,0,499,0,0,140,3,72.58369509138889
kbatch10,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1061,2150,2150,1.0,724,0.33674418604651163,21.010153987213606,39.48465529422338,0.01413641669853817,0.01578930612244898,0.01413641669853817,0.01578930612244898,1.5457125822926197,1.0,14.124234196813683,0.7120930232558139,0.8515837104072398,0.06767086330935251,0.023414475975300983,0.06767086330935251,0.023414475975300983,0.21525230494696143,0.7847476950530385,1.0,0.0,1.0,11,0,0,536,0,0,140,3,40.40653710249999
kbatch10,4000003,,1,4000045,mdn,0.0,automatic,0,0,0,0,0,32120,0,0.0754,2203,2203,1.0,792,0.3595097594189741,20.824348322336142,38.45397438468519,0.010286017065759932,0.011380141843971632,0.010286017065759932,0.011380141843971632,1.6631111473220914,1.0,14.556784678506144,0.7103949160236042,0.8514893617021276,0.060768735237277216,0.020776577131909738,0.060768735237277216,0.020776577131909738,0.2184813322912283,0.7815186677087718,1.0,0.0,1.0,10,0,0,511,0,0,141,2,25.171610521944444
kbatch10,4000004,,1,4000046,mdn,0.0,automatic,0,0,0,0,0,29940,0,0.0637,2077,2077,1.0,690,0.33220991815117956,21.366097849101457,40.27822538848147,0.00899373085456115,0.010219502176145532,0.00899373085456115,0.010219502176145532,1.618593380951682,1.0,14.35506641583151,0.7279730380356283,0.8695265614581018,0.06916627852817886,0.024932140888775562,0.06916627852817886,0.024932140888775562,0.22008208849603067,0.7799179115039693,0.9999999999999998,0.0,1.0,15,0,0,479,0,0,143,0,66.94409026916668
krm0.5,4000001,,1,4000043,mdn,0.0,automatic,0,0,0,0,0,30567,0,0.1804,2081,2081,1.0,682,0.3277270543008169,21.123870288333165,39.056016915914356,0.011925289722900955,0.014408969387755105,0.011925289722900955,0.014408969387755105,1.6433057143619634,1.0,14.659492561481187,0.699663623258049,0.6665939341042985,0.10233471525201833,0.03467472708892409,0.10233471525201833,0.03467472708892409,0.2252549039256457,0.7747450960743543,1.0,0.0,1.0,11,0,0,234,0,0,140,3,136.02022996000002
krm0.5,4000002,,1,4000044,mdn,0.0,automatic,0,0,0,0,0,31293,0,0.1501,2150,2150,1.0,729,0.33906976744186046,20.925701117854423,38.91686899138368,0.014031822456165027,0.01754526530612245,0.014031822456165027,0.01754526530612245,1.53385905407226,1.0,14.043068956098448,0.7120930232558139,0.6373650107991361,0.0979381443298969,0.02843773799575608,0.0979381443298969,0.02843773799575608,0.22039198306002855,0.7796080169399714,1.0,0.0,1.0,11,0,0,278,0,0,140,3,40.141222361666685
